CoupleId,Role,Age,Work Status,Sex,Relationship Satisfaction,Communication Quality,Kiss Frequency,Hold Frequency,Hug Frequency,Kiss Desire,Hold Desire,Hug Desire,Conflict Management,Loneliness,Life Satisfaction,Extraversion,Agreeableness,Conscientiousness,Openness,Neuroticism,Depressiveness,Self-esteem,Health,Conservatism,Religiosity,Region,Urbanization,Education,Frequency,Desire,Kiss Divergence,Hold Divergence,Hug Divergence,Divergence,Perception,Relationship Sex,Relationship Length,Relationship Length (years),Cohabitation,Kids,Married,Age difference,Couple Frequency,Couple Desire,Couple Divergence,Group1,Group2,Group3
1,Anchor,39,1,1,10,23,2,3,3,2,3,3,20,2,8,11,7,11,10,8,6,9,4,18,7,1,1,3,2.666666667,2.666666667,0,0,0,0,Satisfied,0,4,17.5,1,2,1,0,3.166666667,3.166666667,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
2,Anchor,39,2,0,6,17,1,1,1,1,1,1,18,1,6,9,11,9,6,11,5,10,4,12,0,0,1,3,1,1,0,0,0,0,Satisfied,0,4,14.25,1,2,1,-1,1.166666667,2.5,1.333333333,SubGroup7,One-sided Deprivation,Couple Deprivation
3,Anchor,42,1,1,10,26,0,1,1,0,1,1,24,1,8,7,10,12,9,9,6,13,4,12,0,1,0,3,0.666666667,0.666666667,0,0,0,0,Satisfied,0,5,22.25,1,2,1,0,1,1,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
4,Anchor,40,2,0,6,20,2,2,2,4,2,4,24,3,8,12,10,10,8,10,6,13,4,20,2,1,2,6,2,3.333333333,2,0,2,1.333333333,Deprived,1,2,3.916667,1,0,0,0,2.5,3,0.5,SubGroup4,Couple Dissatisfaction,Couple Mixed
5,Anchor,50,,1,8,18,3,1,2,3,1,3,18,1,8,12,13,13,9,5,3,15,5,9,10,1,2,6,2,2.333333333,0,0,1,0.333333333,Deprived,0,5,24.16667,1,2,1,2,2.666666667,2.833333333,0.166666667,SubGroup2,One-sided Deprivation,Couple Deprivation
6,Anchor,31,2,0,8,20,2,0,1,3,1,2,20,1,8,9,10,8,5,5,3,13,4,8,0,0,0,6,1,2,1,1,1,1,Deprived,0,4,13.5,1,0,1,0,1,2.5,1.5,SubGroup3,Couple Deprivation,Couple Deprivation
7,Anchor,40,1,1,8,26,1,1,1,1,1,1,29,1,8,8,12,14,9,14,6,11,5,8,3,1,1,6,1,1,0,0,0,0,Satisfied,0,4,14,1,2,1,0,2,2.5,0.5,SubGroup7,One-sided Deprivation,Couple Deprivation
8,Anchor,41,2,0,10,24,5,4,2,5,4,2,26,1,8,11,11,11,8,5,3,14,4,16,0,1,1,6,3.666666667,3.666666667,0,0,0,0,Satisfied,0,,,1,2,1,-2,2.666666667,2.666666667,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
9,Anchor,51,2,0,10,23,4,4,4,4,4,4,24,1,10,8,10,12,13,4,3,15,4,14,0,0,1,8,4,4,0,0,0,0,Satisfied,0,5,25,1,1,1,-2,3.5,3.5,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
10,Anchor,43,1,1,6,18,1,0,0,3,1,1,23,2,6,10,11,11,8,10,6,10,3,12,2,1,1,6,0.333333333,1.666666667,2,1,1,1.333333333,Deprived,0,3,10.83333,1,3,1,-2,0.5,1.166666667,0.666666667,SubGroup2,One-sided Deprivation,Couple Deprivation
11,Anchor,49,2,1,10,22,4,3,2,4,4,2,26,1,8,8,13,10,13,4,4,15,4,10,10,1,2,8,3,3.333333333,0,1,0,0.333333333,Deprived,0,4,14.75,1,0,1,1,2.333333333,2.5,0.166666667,SubGroup2,One-sided Deprivation,Couple Deprivation
12,Anchor,30,1,0,10,25,4,4,3,4,4,3,23,1,8,8,11,11,11,6,6,13,4,10,1,1,2,6,3.666666667,3.666666667,0,0,0,0,Satisfied,0,4,11.75,1,0,1,0,3.333333333,3.333333333,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
13,Anchor,41,1,0,8,20,2,1,1,4,3,3,21,3,8,8,12,11,9,7,7,12,4,19,8,1,1,6,1.333333333,3.333333333,2,2,2,2,Deprived,0,2,4.916667,1,3,1,-2,2.333333333,3.5,1.166666667,SubGroup3,Couple Deprivation,Couple Deprivation
14,Anchor,41,2,1,10,24,3,3,3,3,3,3,24,1,10,10,14,14,9,5,4,15,5,11,9,1,1,8,3,3,0,0,0,0,Satisfied,0,5,24.25,1,2,1,2,3,3,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
15,Anchor,50,1,1,8,19,1,1,0,3,2,1,18,1,6,11,11,12,9,5,3,15,5,17,7,1,1,6,0.666666667,2,2,1,1,1.333333333,Deprived,0,5,24.83333,1,3,1,0,0.833333333,1.5,0.666666667,SubGroup2,One-sided Deprivation,Couple Deprivation
16,Anchor,39,0,0,10,23,1,2,1,2,2,1,24,1,10,8,14,11,14,7,5,14,5,10,10,0,1,8,1.333333333,1.666666667,1,0,0,0.333333333,Deprived,0,4,14.33333,1,2,1,-1,2.333333333,2.833333333,0.5,SubGroup3,Couple Deprivation,Couple Deprivation
17,Anchor,31,2,0,8,24,4,3,2,4,3,2,30,2,10,12,12,12,13,5,4,15,5,8,0,0,2,6,3,3,0,0,0,0,Satisfied,0,1,2.583333,1,0,0,-2,2.666666667,3.166666667,0.5,SubGroup7,One-sided Deprivation,Couple Deprivation
18,Anchor,50,2,0,6,18,1,1,1,4,3,3,24,4,6,8,9,11,7,6,6,12,3,21,5,1,1,4,1,3.333333333,3,2,2,2.333333333,Deprived,0,5,26.58333,1,2,1,0,0.833333333,1.833333333,1,SubGroup4,Couple Dissatisfaction,Couple Mixed
19,Anchor,30,1,1,10,19,0,1,0,2,2,2,20,2,8,7,14,9,10,11,7,10,,10,1,1,1,6,0.333333333,2,2,1,2,1.666666667,Deprived,0,3,9.166667,1,1,1,0,2,3,1,SubGroup3,Couple Deprivation,Couple Deprivation
20,Anchor,50,1,1,10,24,2,2,2,2,2,2,25,1,10,9,13,10,12,4,3,13,5,11,9,1,1,6,2,2,0,0,0,0,Satisfied,0,5,32.25,0,3,1,0,2.333333333,2.333333333,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
21,Anchor,28,2,1,10,27,4,1,4,4,1,4,24,2,10,10,10,9,13,7,5,15,4,15,0,1,2,6,3,3,0,0,0,0,Satisfied,0,3,6.75,1,0,0,0,3.166666667,2.333333333,-0.833333333,SubGroup8,One-sided Saturation,Couple Saturation
23,Anchor,51,2,0,6,19,3,1,0,4,2,2,23,2,6,7,10,11,8,6,4,10,4,16,0,1,1,3,1.333333333,2.666666667,1,1,2,1.333333333,Deprived,0,5,30.75,1,1,1,1,1.333333333,2.833333333,1.5,SubGroup3,Couple Deprivation,Couple Deprivation
24,Anchor,31,1,1,8,22,2,1,1,3,3,3,22,4,8,8,6,12,6,11,6,8,3,18,0,1,1,4,1.333333333,3,1,2,2,1.666666667,Deprived,0,3,8.5,1,1,1,1,1,2.666666667,1.666666667,SubGroup3,Couple Deprivation,Couple Deprivation
25,Anchor,49,2,0,10,24,3,3,2,3,3,2,24,1,8,8,14,10,10,5,5,13,4,17,5,1,1,6,2.666666667,2.666666667,0,0,0,0,Satisfied,0,5,25.33333,1,3,1,0,3.666666667,3.666666667,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
26,Anchor,41,1,1,8,20,4,4,4,4,4,4,25,1,8,13,12,12,13,7,5,13,4,7,0,1,0,6,4,4,0,0,0,0,Satisfied,0,2,4.083333,1,2,0,1,4.5,4.5,0,SubGroup1,Couple Satisfaction,Couple Satisfaction
