Predictors,AOR,Lower CI,Upper CI,p-value,Category,err_lower,err_upper
Age,1.0157006187954167,1.0071149408683078,1.024359489823409,0.0003220492769477308,Sociodemographic,0.008585677927108959,0.008658871027992232
Work Status,1.1441678032687779,1.0717421891459538,1.2214877563792723,5.422531665358646e-05,Sociodemographic,0.07242561412282411,0.07731995311049444
Extraversion,0.9807796288387357,0.9586297735644189,1.0034412730248958,0.09587236464730305,Personality Traits,0.022149855274316788,0.022661644186160124
Agreeableness,0.9766979605642675,0.9544023901720516,0.999514372547235,0.04537168920932254,Personality Traits,0.022295570392215858,0.022816411982967466
Conscientiousness,0.9894976548935975,0.9685453727001339,1.0109031921863971,0.33360767526195656,Personality Traits,0.020952282193463678,0.021405537292799592
Openness,1.003139489612867,0.9811775961235496,1.025592960536832,0.7813683037003768,Personality Traits,0.02196189348931732,0.02245347092396499
Neuroticism,0.9949465621445073,0.9699068423786898,1.0206327229277044,0.6968569578883589,Personality Traits,0.025039719765817425,0.025686160783197076
Depressiveness,0.9963070649538704,0.9554274107116093,1.0389358276184262,0.8625897909587161,Individual Wellbeing,0.04087965424226114,0.04262876266455573
Loneliness,0.8788303161261307,0.8301562314459476,0.9303582811118642,8.86930378935921e-06,Individual Wellbeing,0.04867408468018308,0.05152796498573353
Self Esteem,1.0339774403225228,1.0072883543024662,1.0613736796711604,0.012271840330857781,Individual Wellbeing,0.026689086020056596,0.027396239348637552
Life Satisfaction,1.0040595229954963,0.9658363026472198,1.0437954371302756,0.83789609656704,Individual Wellbeing,0.03822322034827652,0.03973591413477928
Health,1.0768068267729551,1.0076391475168194,1.1507224039898534,0.028915986140556776,Individual Wellbeing,0.06916767925613576,0.07391557721689823
Relationship Length,0.9283117320186578,0.8650779776046459,0.9961676220098152,0.03876811646285649,Relationship Characteristics,0.06323375441401191,0.06785588999115744
Married,0.8563418705833556,0.7313847252634511,1.0026479552878984,0.053966694510865,Relationship Characteristics,0.12495714531990454,0.14630608470454276
Cohabitation,1.130450161369189,0.881656922491011,1.4494499331202773,0.33362981913709133,Relationship Characteristics,0.24879323887817806,0.3189997717510882
Kids,0.8023570593718796,0.7458225239058993,0.8631770026901407,3.4880025864476597e-09,Relationship Characteristics,0.05653453546598031,0.06081994331826113
Communication Quality,1.1119838021163757,1.08938625801295,1.135050095477239,3.944807648437393e-24,Relationship Characteristics,0.022597544103425626,0.023066293360863188
Relationship Satisfaction,1.3370557494113615,1.2766027701893565,1.4003714536580616,8.539294256782345e-35,Relationship Characteristics,0.06045297922200499,0.06331570424670008
Conflict Management,1.0077012988678062,0.9879414739065888,1.0278563402389127,0.4476864846344585,Relationship Characteristics,0.01975982496121742,0.020155041371106464
