age,page,sex,psex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b
39,40,"Female","Male",17.5,"11-20","Cohabiting","2","9","8",23,,"6-10x","11-20x","11-20x","11-20x","21-50x","21-50x","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times"
39,33,"Male","Female",14.25,"11-20","Cohabiting","2","6","7",17,23,"1-5x","1-5x","1-5x","6-10x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","More than 50 times","11 to 20 times","21 to 50 times"
42,41,"Female","Male",22.25,"21+","Cohabiting","2","9","10 - Completely satisfied",26,23,"0x","1-5x","1-5x","1-5x","6-10x","1-5x","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times"
40,40,"Male","Male",3.916667,"3-5","Cohabiting","0","6","9",20,21,"6-10x","6-10x","6-10x","11-20x","11-20x","11-20x","6 to 10 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times"
50,53,"Female","Male",24.16667,"21+","Cohabiting","2","7","8",18,22,"11-20x","1-5x","6-10x","21-50x","6-10x","21-50x","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times"
31,32,"Male","Female",13.5,"11-20","Cohabiting","0","8","8",20,24,"6-10x","0x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","Not at all","1 to 5 times","11 to 20 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
40,41,"Female","Male",14,"11-20","Cohabiting","2","8","9",26,26,"1-5x","1-5x","1-5x","21-50x","11-20x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times"
41,39,"Male","Female",,,"Cohabiting","2","9","9",24,27,"> 50x","21-50x","6-10x","6-10x","6-10x","1-5x","More than 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times"
51,46,"Male","Female",25,"21+","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",23,24,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
43,41,"Female","Male",10.83333,"6-10","Cohabiting","3+","5","7",18,21,"1-5x","0x","0x","1-5x","1-5x","0x","1 to 5 times","Not at all","Not at all","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all"
49,58,"Female","Male",14.75,"11-20","Cohabiting","0","9","8",22,20,"21-50x","11-20x","6-10x","11-20x","1-5x","1-5x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times"
30,30,"Male","Female",11.75,"11-20","Cohabiting","0","9","9",25,24,"21-50x","21-50x","11-20x","21-50x","1-5x","21-50x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times"
41,38,"Male","Female",4.916667,"3-5","Cohabiting","3+","7","9",20,24,"6-10x","1-5x","1-5x","11-20x","21-50x","11-20x","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
