Predictors,AOR,Lower CI,Upper CI,p-value,Category,err_lower,err_upper
Age,0.9989125672721793,0.9913374057048703,1.0065456133422224,0.7793724527643863,Sociodemographic,0.0075751615673089745,0.007633046070043115
Openness,0.9851688242090226,0.9663408485733663,1.0043636400409308,0.12908830022961187,Personality Traits,0.018827975635656302,0.019194815831908185
Life Satisfaction,0.9787218422300554,0.948254684646601,1.0101679010583384,0.18253960761270305,Individual Wellbeing,0.03046715758345442,0.031446058828283
Cohabitation,1.1501923037845783,0.9135787843045992,1.4480878479377965,0.23373685706820413,Relationship Characteristics,0.2366135194799791,0.2978955441532183
Communication Quality,1.0321192223692557,1.0145080444547896,1.0500361184978162,0.00031783969814403075,Relationship Characteristics,0.017611177914466092,0.01791689612856051
Relationship Satisfaction,1.0697535760775492,1.0327061545389127,1.1081300411554624,0.00017711543800065852,Relationship Characteristics,0.037047421538636494,0.03837646507791326
Conflict Management,0.9832530547446247,0.9666671961854287,1.0001234897384312,0.05168625196785325,Relationship Characteristics,0.01658585855919592,0.016870434993806582
Loneliness,0.9937607711298714,0.9490358087778955,1.0405934750853612,0.7899435562435195,Individual Wellbeing,0.04472496235197587,0.046832703955489774
Self Esteem,1.0018969490321954,0.9819368733723953,1.0222627581267494,0.8535564818582905,Individual Wellbeing,0.01996007565980007,0.020365809094553988
Relationship Length,0.942116378624908,0.8881988358966915,0.9993069513283488,0.047365087410943384,Relationship Characteristics,0.05391754272821658,0.057190572703440745
