Predictors,AOR,Lower CI,Upper CI,p-value,Category,err_lower,err_upper
Frequency Alignment,1.0500543922116603,0.940689596328436,1.1721339652384424,0.3840898075737984,Touch,0.10936479588322434,0.12207957302678207
Desire Alignment,1.2872199237018291,1.149559640299281,1.4413650878901503,1.2131921706377904e-05,Touch,0.1376602834025482,0.15414516418832114
Age,1.0158333990376425,1.0072168596818463,1.0245236511691496,0.0003009328056129841,Sociodemographic,0.008616539355796204,0.008690252131507092
Work Status,1.1418881119249813,1.0693388301855673,1.2193594989245133,7.44279223630724e-05,Sociodemographic,0.072549281739414,0.07747138699953204
Extraversion,0.9810196423918155,0.9588632159065215,1.0036880368267134,0.10015111993528669,Personality Traits,0.022156426485294034,0.022668394434897876
Agreeableness,0.9769304242538406,0.954604635431369,0.9997783568288621,0.04784336925185108,Personality Traits,0.022325788822471604,0.02284793257502149
Conscientiousness,0.9896882348239578,0.9686902193998205,1.0111414181056022,0.34347020436623643,Personality Traits,0.020998015424137373,0.02145318328164436
Openness,1.0044612582275336,0.9824165344461193,1.0270006498301416,0.694209434921,Personality Traits,0.02204472378141431,0.022539391602607983
Neuroticism,0.9933823218239384,0.9683100714970059,1.0191037626890673,0.6107022008312994,Personality Traits,0.0250722503269325,0.025721440865128953
Depressiveness,0.9973376375047802,0.9562864542494999,1.0401510538641372,0.9010677055451661,Individual Wellbeing,0.041051183255280344,0.04281341635935698
Loneliness,0.8791025498468957,0.8301428047844247,0.9309498181436429,1.0472165048282322e-05,Individual Wellbeing,0.04895974506247103,0.05184726829674713
Self Esteem,1.0335088407251374,1.0068402530903717,1.0608838100964795,0.013471925477412626,Individual Wellbeing,0.02666858763476565,0.027374969371342095
Life Satisfaction,1.005600313155078,0.9673016980683277,1.0454152947699673,0.7780251909897197,Individual Wellbeing,0.038298615086750254,0.03981498161488939
Health,1.0761519163431603,1.0069102766019697,1.1501550574668062,0.030547684920846526,Individual Wellbeing,0.06924163974119057,0.07400314112364592
Relationship Length,0.9321564792222805,0.8685390176051747,1.000433698594154,0.05142196626802827,Relationship Characteristics,0.0636174616171058,0.06827721937187348
Married,0.8583715890270881,0.7327682329159704,1.005504539841836,0.05849661846246482,Relationship Characteristics,0.12560335611111773,0.14713295081474798
Cohabitation,1.1147401269755124,0.8695991402740623,1.4289866366447304,0.39130506225640915,Relationship Characteristics,0.24514098670145013,0.31424650966921797
Kids,0.800325150838739,0.7438618873480562,0.8610742907511646,2.417557533476626e-09,Relationship Characteristics,0.05646326349068276,0.06074913991242559
Communication Quality,1.1097790783873522,1.0871725157324337,1.1328557197718885,3.42158512003271e-23,Relationship Characteristics,0.02260656265491856,0.023076641384536245
Relationship Satisfaction,1.332950028944498,1.2724737638287533,1.3963005212123571,7.198066078973331e-34,Relationship Characteristics,0.060476265115744665,0.06335049226785916
Conflict Management,1.0085838564633816,0.9887942543911156,1.0287695251070696,0.3978984268973794,Relationship Characteristics,0.019789602072265988,0.020185668643688093
