age,page,workst,pworkst,sex,psex,samesex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b,agediff_class,confm,pconfm,loneliness,ploneliness,lifsat,plifsat,extr,agree,consc,open,neur,depr,pdepr,self,pself,health,phealth,consv,god,pgod,pextr,pagree,pconsc,popen,pneur,east,peast,degurba,pdegurba,married,pconsv,ykage_class_w2b,pisced11,isced11
39,40,"Part-time activity","Full time activity","Female","Male","Different sex",17.5,"11-20","Cohabiting","2","9","8",23,,"6-10x","11-20x","11-20x","11-20x","21-50x","21-50x","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","Same age",20,,"2","1 - Not at all","7","8",11,7,11,10,8,6,3,9,11,4,4,18,7,4,9,9,13,11,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",28,"6-13",3,3
39,33,"Full time activity","Full time activity","Male","Female","Different sex",14.25,"11-20","Cohabiting","2","6","7",17,23,"1-5x","1-5x","1-5x","6-10x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","More than 50 times","11 to 20 times","21 to 50 times","6-10y. younger partner",18,25,"1 - Not at all","1 - Not at all","6","6",9,11,9,6,11,5,7,10,9,4,3,12,0,0,10,10,10,10,11,"East Germany","East Germany","Town or suburb","Town or suburb","Married",12,"2-5",6,3
42,41,"Part-time activity","Full time activity","Female","Male","Different sex",22.25,"21+","Cohabiting","2","9","10 - Completely satisfied",26,23,"0x","1-5x","1-5x","1-5x","6-10x","1-5x","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","Same age",24,25,"1 - Not at all","1 - Not at all","7","8",7,10,12,9,9,6,3,13,15,4,5,12,0,5,9,12,11,8,4,"West Germany","West Germany","Rural area","Rural area","Married",24,"14-17",3,3
40,40,"Full time activity","Full time activity","Male","Male","Same sex",3.916667,"3-5","Cohabiting","0","6","9",20,21,"6-10x","6-10x","6-10x","11-20x","11-20x","11-20x","6 to 10 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","Same age",24,18,"3","1 - Not at all","7","9",12,10,10,8,10,6,6,13,,4,3,20,2,4,10,13,12,11,7,"West Germany","West Germany","City","City","Not married",20,,6,6
50,53,,"Full time activity","Female","Male","Different sex",24.16667,"21+","Cohabiting","2","7","8",18,22,"11-20x","1-5x","6-10x","21-50x","6-10x","21-50x","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","2-5y. older partner",18,20,"1 - Not at all","1 - Not at all","7","7",12,13,13,9,5,3,5,15,15,5,4,9,10,0,7,15,10,10,4,"West Germany","West Germany","City","City","Married",11,"14-17",6,6
31,32,"Full time activity","Home","Male","Female","Different sex",13.5,"11-20","Cohabiting","0","8","8",20,24,"6-10x","0x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","Not at all","1 to 5 times","11 to 20 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","Same age",20,22,"1 - Not at all","2","8","7",9,10,8,5,5,3,5,13,12,4,3,8,0,0,11,13,6,13,8,"East Germany","East Germany","Rural area","Rural area","Married",7,,6,6
40,41,"Part-time activity","Full time activity","Female","Male","Different sex",14,"11-20","Cohabiting","2","8","9",26,26,"1-5x","1-5x","1-5x","21-50x","11-20x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",29,27,"1 - Not at all","1 - Not at all","7","9",8,12,14,9,14,6,4,11,14,5,4,8,3,0,8,10,9,11,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",11,"6-13",6,6
41,39,"Full time activity","Full time activity","Male","Female","Different sex",,,"Cohabiting","2","9","9",24,27,"> 50x","21-50x","6-10x","6-10x","6-10x","1-5x","More than 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","2-5y. younger partner",26,24,"1 - Not at all","1 - Not at all","8","9",11,11,11,8,5,3,3,14,13,4,4,16,0,2,11,12,11,8,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",12,"6-13",6,6
51,46,"Full time activity","Full time activity","Male","Female","Different sex",25,"21+","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",23,24,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. younger partner",24,25,"1 - Not at all","1 - Not at all","9","10 - Completely satisfied",8,10,12,13,4,3,4,15,15,4,5,14,0,0,8,12,14,7,7,"East Germany","East Germany","Town or suburb","Town or suburb","Married",7,"14-17",8,8
43,41,"Part-time activity","Full time activity","Female","Male","Different sex",10.83333,"6-10","Cohabiting","3+","5","7",18,21,"1-5x","0x","0x","1-5x","1-5x","0x","1 to 5 times","Not at all","Not at all","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all","2-5y. younger partner",23,19,"2","1 - Not at all","5","2",10,11,11,8,10,6,6,10,13,3,3,12,2,10,10,12,11,13,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",19,"2-5",6,6
